"consistency_type","request_type","num_requests","avg_read_latency","avg_write_latency","total_time","throughput","monotonic_retry_count"
"STRONG","get","1000","6","0","884","1131.2217194570135","0"
"STRONG","get","3000","4","0","1555","1929.2604501607718","0"
"STRONG","get","5000","2","0","1843","2712.9679869777538","0"
"STRONG","get","10000","2","0","2607","3835.826620636747","0"
"EVENTUAL","get","1000","5","0","671","1490.3129657228017","0"
"EVENTUAL","get","3000","2","0","851","3525.2643948296122","0"
"EVENTUAL","get","5000","1","0","955","5235.602094240838","0"
"EVENTUAL","get","10000","1","0","1568","6377.551020408163","0"
"STRONG","put","1000","0","172","21658","46.1723150798781","0"
"STRONG","put","3000","0","160","60258","49.78592054167081","0"
"STRONG","put","5000","0","166","104096","48.0325853058715","0"
"STRONG","put","10000","0","162","203120","49.231981094919256","0"
"STRONG","get_put","2000","1","161","20348","98.28975820719482","0"
"STRONG","get_put","6000","1","159","60126","99.79044007584073","0"
"STRONG","get_put","10000","0","160","100853","99.15421454988945","0"
"STRONG","get_put","20000","0","159","200863","99.57035392282302","0"
"EVENTUAL","get_put","2000","1","167","21213","94.28180832508367","0"
"EVENTUAL","get_put","6000","1","166","63014","95.21693591900213","0"
"EVENTUAL","get_put","10000","1","167","105213","95.04528908024675","0"
"EVENTUAL","get_put","20000","1","164","206586","96.81198145082435","0"
"MONOTONIC_READS","get_put","2000","1","162","20683","96.69777111637576","408"
"MONOTONIC_READS","get_put","6000","1","165","62657","95.7594522559331","1272"
"MONOTONIC_READS","get_put","10000","1","163","103436","96.67813913917784","2164"
"MONOTONIC_READS","get_put","20000","1","164","207104","96.56983930778739","4235"
"READ_MY_WRITES","get_put","2000","1","164","20875","95.80838323353294","407"
"READ_MY_WRITES","get_put","6000","1","164","62301","96.30664034285164","1201"
"READ_MY_WRITES","get_put","10000","1","163","103277","96.82697986967088","2102"
"READ_MY_WRITES","get_put","20000","1","166","210125","95.18143961927424","4272"
