"consistency_type","request_type","num_requests","avg_read_latency","avg_write_latency","total_time","throughput","monotonic_retry_count"
"STRONG","get","1000","6","0","861","1161.4401858304298","0"
"STRONG","get","3000","4","0","1580","1898.7341772151897","0"
"STRONG","get","5000","2","0","1726","2896.8713789107765","0"
"STRONG","get","10000","1","0","2536","3943.217665615142","0"
"EVENTUAL","get","1000","4","0","601","1663.893510815308","0"
"EVENTUAL","get","3000","1","0","703","4267.425320056899","0"
"EVENTUAL","get","5000","1","0","900","5555.555555555556","0"
"EVENTUAL","get","10000","0","0","1190","8403.361344537816","0"
"STRONG","put","1000","0","176","22192","45.06128334534967","0"
"STRONG","put","3000","0","169","63582","47.18316504671133","0"
"STRONG","put","5000","0","166","104352","47.9147500766636","0"
"STRONG","put","10000","0","172","216286","46.235077628695336","0"
"STRONG","get_put","2000","1","166","20990","95.28346831824679","0"
"STRONG","get_put","6000","1","166","62765","95.59467856289334","0"
"STRONG","get_put","10000","0","165","104035","96.12149757293218","0"
"STRONG","get_put","20000","0","167","210854","94.85236229808302","0"
"EVENTUAL","get_put","2000","1","164","20882","95.77626664112633","0"
"EVENTUAL","get_put","6000","1","169","63945","93.83063570255689","0"
"EVENTUAL","get_put","10000","1","170","107145","93.33146670399925","0"
"EVENTUAL","get_put","20000","1","170","214103","93.41298347057257","0"
"MONOTONIC_READS","get_put","2000","2","171","21794","91.76837661741763","782"
"MONOTONIC_READS","get_put","6000","1","170","64859","92.50836429793861","2075"
"MONOTONIC_READS","get_put","10000","1","169","106993","93.46405839634369","3790"
"MONOTONIC_READS","get_put","20000","1","175","222109","90.04587837503207","6837"
"READ_MY_WRITES","get_put","2000","2","166","21249","94.12207633300392","773"
"READ_MY_WRITES","get_put","6000","1","176","67085","89.43877170753522","2086"
"READ_MY_WRITES","get_put","10000","1","174","110526","90.47644898033042","3692"
"READ_MY_WRITES","get_put","20000","1","172","217735","91.85477759661974","6962"
